Date,Main draw,Powerball,Power Play,Double Play,Powerball.1,Power Play.1,Est. jackpot,Source,Number1,Number2,Number3,Number4,Number5,BonusNumber
2025-10-27,"17, 39, 43, 51, 66",20.0,x2,"16, 31, 60, 63, 65",17.0,,$359 Million ,LotteryUSA,,,,,,
2025-10-25,"2, 12, 22, 39, 67",15.0,x2,"3, 24, 46, 58, 61",7.0,,$344 Million ,LotteryUSA,,,,,,
2025-10-22,"18, 37, 52, 54, 60",12.0,x2,"23, 37, 43, 60, 64",5.0,,$321 Million ,LotteryUSA,,,,,,
2025-10-20,"32, 38, 66, 67, 69",19.0,x2,"33, 48, 52, 55, 68",9.0,,$305 Million ,LotteryUSA,,,,,,
2025-10-18,"3, 11, 27, 40, 58",10.0,x3,"2, 9, 10, 14, 36",23.0,,$290 Million ,LotteryUSA,,,,,,
2025-10-15,"10, 13, 28, 34, 47",15.0,x3,"5, 20, 27, 44, 51",21.0,,$273 Million ,LotteryUSA,,,,,,
2025-10-13,"13, 14, 32, 52, 64",12.0,x2,"12, 13, 46, 49, 68",7.0,,$258 Million ,LotteryUSA,,,,,,
2025-10-11,"13, 16, 18, 20, 27",10.0,x2,"12, 22, 41, 46, 56",15.0,,$244 Million ,LotteryUSA,,,,,,
2025-10-08,"8, 10, 44, 48, 54",14.0,x2,"8, 13, 19, 34, 53",24.0,,$223 Million ,LotteryUSA,,,,,,
2025-10-06,"28, 29, 32, 66, 67",3.0,x2,"9, 21, 37, 40, 52",5.0,,$208 Million ,LotteryUSA,,,,,,
2025-10-04,"3, 7, 47, 67, 68",2.0,x2,"5, 16, 40, 44, 47",7.0,,$194 Million ,LotteryUSA,,,,,,
2025-10-01,"8, 17, 22, 28, 55",14.0,x3,"3, 29, 38, 56, 65",7.0,,$175 Million ,LotteryUSA,,,,,,
2025-09-29,"1, 3, 27, 60, 65",16.0,x5,"2, 9, 12, 18, 65",26.0,,$160 Million ,LotteryUSA,,,,,,
