Date,Result,Top prize,Source,Number1,Number2,Number3,Number4
2025-10-29,"2, 6, 2, 4","$5,000 ",LotteryUSA_Original,2,6,2,4
2025-10-28,"8, 1, 6, 2","$5,000 ",LotteryUSA_Original,8,1,6,2
2025-10-27,"3, 9, 6, 5","$5,000 ",LotteryUSA_Original,3,9,6,5
2025-10-26,"1, 1, 1, 5","$5,000 ",LotteryUSA_Original,1,1,1,5
2025-10-25,"8, 1, 3, 0","$5,000 ",LotteryUSA_Original,8,1,3,0
2025-10-24,"0, 4, 1, 7","$5,000 ",LotteryUSA_Original,0,4,1,7
2025-10-23,"2, 5, 9, 7","$5,000 ",LotteryUSA_Original,2,5,9,7
2025-10-22,"2, 0, 0, 1","$5,000 ",LotteryUSA_Original,2,0,0,1
2025-10-21,"7, 0, 1, 5","$5,000 ",LotteryUSA_Original,7,0,1,5
2025-10-20,"8, 1, 7, 8","$5,000 ",LotteryUSA_Original,8,1,7,8
2025-10-19,"0, 7, 5, 7","$5,000 ",LotteryUSA_Original,0,7,5,7
2025-10-18,"1, 6, 9, 7","$5,000 ",LotteryUSA_Original,1,6,9,7
2025-10-17,"0, 2, 6, 2","$5,000 ",LotteryUSA_Original,0,2,6,2
2025-10-16,"7, 9, 6, 4","$5,000 ",LotteryUSA_Original,7,9,6,4
2025-10-15,"5, 9, 7, 6","$5,000 ",LotteryUSA_Original,5,9,7,6
2025-10-14,"6, 7, 2, 8","$5,000 ",LotteryUSA_Original,6,7,2,8
2025-10-13,"5, 9, 4, 5","$5,000 ",LotteryUSA_Original,5,9,4,5
2025-10-12,"5, 9, 2, 6","$5,000 ",LotteryUSA_Original,5,9,2,6
2025-10-11,"1, 0, 9, 0","$5,000 ",LotteryUSA_Original,1,0,9,0
2025-10-10,"4, 5, 0, 4","$5,000 ",LotteryUSA_Original,4,5,0,4
2025-10-09,"8, 5, 3, 2","$5,000 ",LotteryUSA_Original,8,5,3,2
2025-10-08,"3, 3, 4, 8","$5,000 ",LotteryUSA_Original,3,3,4,8
2025-10-07,"0, 6, 3, 5","$5,000 ",LotteryUSA_Original,0,6,3,5
2025-10-06,"4, 3, 2, 9","$5,000 ",LotteryUSA_Original,4,3,2,9
2025-10-05,"1, 3, 0, 6","$5,000 ",LotteryUSA_Original,1,3,0,6
2025-10-04,"6, 6, 0, 3","$5,000 ",LotteryUSA_Original,6,6,0,3
2025-10-03,"9, 2, 6, 9","$5,000 ",LotteryUSA_Original,9,2,6,9
2025-10-02,"0, 8, 8, 3","$5,000 ",LotteryUSA_Original,0,8,8,3
2025-10-01,"7, 4, 8, 6","$5,000 ",LotteryUSA_Original,7,4,8,6
2025-09-30,"6, 2, 8, 7","$5,000 ",LotteryUSA_Original,6,2,8,7
2025-09-29,"1, 5, 6, 3","$5,000 ",LotteryUSA_Original,1,5,6,3
2025-09-28,"0, 9, 5, 4","$5,000 ",LotteryUSA_Original,0,9,5,4
2025-09-27,"0, 5, 0, 3","$5,000 ",LotteryUSA_Original,0,5,0,3
2025-09-26,"1, 1, 7, 5","$5,000 ",LotteryUSA_Original,1,1,7,5
2025-09-25,"8, 0, 6, 1","$5,000 ",LotteryUSA_Original,8,0,6,1
2025-09-24,"9, 9, 1, 0","$5,000 ",LotteryUSA_Original,9,9,1,0
2025-09-23,"8, 9, 8, 8","$5,000 ",LotteryUSA_Original,8,9,8,8
2025-09-22,"7, 9, 8, 7","$5,000 ",LotteryUSA_Original,7,9,8,7
2025-09-21,"5, 2, 0, 0","$5,000 ",LotteryUSA_Original,5,2,0,0
2025-09-20,"0, 8, 6, 9","$5,000 ",LotteryUSA_Original,0,8,6,9
2025-09-19,"7, 7, 3, 6","$5,000 ",LotteryUSA_Original,7,7,3,6
2025-09-18,"1, 0, 1, 4","$5,000 ",LotteryUSA_Original,1,0,1,4
2025-09-17,"0, 9, 6, 8","$5,000 ",LotteryUSA_Original,0,9,6,8
2025-09-16,"9, 8, 2, 3","$5,000 ",LotteryUSA_Original,9,8,2,3
