Date,Result,Mega Ball,Megaplier,Est. jackpot,Source,Number1,Number2,Number3,Number4,Number5,BonusNumber
2025-10-28,"2, 19, 33, 53, 61",14.0,,$714 Million ,LotteryUSA,,,,,,
2025-10-24,"11, 18, 31, 51, 56",24.0,,$680 Million ,LotteryUSA,,,,,,
2025-10-21,"2, 18, 27, 34, 59",18.0,,$650 Million ,LotteryUSA,,,,,,
2025-10-17,"9, 21, 27, 48, 56",10.0,,$625 Million ,LotteryUSA,,,,,,
2025-10-14,"12, 22, 49, 57, 58",19.0,,$600 Million ,LotteryUSA,,,,,,
2025-10-10,"3, 18, 23, 32, 56",8.0,,$575 Million ,LotteryUSA,,,,,,
2025-10-07,"17, 26, 33, 45, 56",19.0,,$547 Million ,LotteryUSA,,,,,,
2025-10-03,"18, 19, 38, 54, 57",19.0,,$520 Million ,LotteryUSA,,,,,,
2025-09-30,"4, 8, 27, 37, 63",14.0,,$497 Million ,LotteryUSA,,,,,,
2025-09-26,"4, 21, 27, 33, 49",21.0,,$474 Million ,LotteryUSA,,,,,,
2025-09-23,"13, 24, 41, 42, 70",18.0,,$451 Million ,LotteryUSA,,,,,,
2025-09-19,"2, 22, 27, 42, 58",8.0,,$423 Million ,LotteryUSA,,,,,,
2025-09-16,"10, 14, 34, 40, 43",5.0,,$400 Million ,LotteryUSA,,,,,,
2025-09-12,"17, 18, 21, 42, 64",7.0,,$381 Million ,LotteryUSA,,,,,,
2025-09-09,"6, 43, 52, 64, 65",22.0,,$358 Million ,LotteryUSA,,,,,,
2025-09-05,"6, 14, 36, 58, 62",24.0,,$336 Million ,LotteryUSA,,,,,,
2025-09-02,"7, 17, 35, 40, 64",23.0,,$302 Million ,LotteryUSA,,,,,,
2025-08-29,"13, 31, 32, 44, 45",21.0,,$277 Million ,LotteryUSA,,,,,,
2025-08-26,"7, 12, 30, 40, 69",17.0,,$253 Million ,LotteryUSA,,,,,,
2025-08-22,"18, 30, 44, 48, 50",12.0,,$234 Million ,LotteryUSA,,,,,,
2025-08-19,"10, 19, 24, 49, 68",10.0,,$216 Million ,LotteryUSA,,,,,,
2025-08-15,"4, 17, 27, 34, 69",16.0,,$198 Million ,LotteryUSA,,,,,,
2025-08-12,"1, 8, 31, 56, 67",23.0,,$182 Million ,LotteryUSA,,,,,,
2025-08-08,"2, 6, 8, 14, 49",12.0,,$166 Million ,LotteryUSA,,,,,,
2025-08-05,"12, 27, 42, 59, 65",2.0,,$150 Million ,LotteryUSA,,,,,,
2025-08-01,"18, 27, 29, 33, 70",22.0,,$140 Million ,LotteryUSA,,,,,,
2025-07-29,"17, 30, 34, 63, 67",11.0,,$130 Million ,LotteryUSA,,,,,,
2025-07-25,"14, 21, 25, 49, 52",7.0,,$120 Million ,LotteryUSA,,,,,,
2025-07-22,"22, 41, 42, 59, 69",17.0,,$110 Million ,LotteryUSA,,,,,,
2025-07-18,"11, 43, 54, 55, 63",3.0,,$100 Million ,LotteryUSA,,,,,,
2025-07-15,"6, 10, 24, 35, 43",1.0,,$90 Million ,LotteryUSA,,,,,,
2025-07-11,"12, 23, 24, 31, 56",1.0,,$80 Million ,LotteryUSA,,,,,,
2025-07-08,"4, 6, 38, 44, 62",24.0,,$70 Million ,LotteryUSA,,,,,,
2025-07-04,"17, 20, 24, 41, 42",24.0,,$60 Million ,LotteryUSA,,,,,,
2025-07-01,"19, 28, 31, 39, 54",5.0,,$50 Million ,LotteryUSA,,,,,,
2025-06-27,"18, 21, 29, 42, 50",2.0,,$348 Million ,LotteryUSA,,,,,,
2025-06-24,"10, 11, 18, 24, 60",20.0,,$326 Million ,LotteryUSA,,,,,,
2025-06-20,"26, 49, 58, 61, 63",9.0,,$302 Million ,LotteryUSA,,,,,,
2025-06-17,"16, 23, 39, 46, 55",12.0,,$280 Million ,LotteryUSA,,,,,,
2025-06-13,"8, 10, 22, 40, 47",1.0,,$264 Million ,LotteryUSA,,,,,,
2025-06-10,"10, 11, 14, 38, 45",24.0,,$243 Million ,LotteryUSA,,,,,,
2025-06-06,"16, 40, 54, 56, 57",3.0,,$223 Million ,LotteryUSA,,,,,,
2025-06-03,"16, 24, 29, 36, 45",13.0,,$202 Million ,LotteryUSA,,,,,,
2025-05-30,"2, 28, 37, 38, 58",13.0,,$189 Million ,LotteryUSA,,,,,,
2025-05-27,"6, 28, 34, 48, 62",9.0,,$173 Million ,LotteryUSA,,,,,,
2025-05-23,"7, 18, 40, 55, 68",18.0,,$154 Million ,LotteryUSA,,,,,,
2025-05-20,"18, 30, 33, 55, 64",11.0,,$139 Million ,LotteryUSA,,,,,,
2025-05-16,"2, 22, 42, 62, 66",14.0,,$122 Million ,LotteryUSA,,,,,,
2025-05-13,"6, 29, 33, 47, 68",20.0,,$110 Million ,LotteryUSA,,,,,,
2025-05-09,"9, 10, 12, 48, 60",16.0,,$100 Million ,LotteryUSA,,,,,,
2025-05-06,"16, 17, 43, 46, 58",16.0,,$90 Million ,LotteryUSA,,,,,,
2025-05-02,"14, 37, 40, 41, 68",2.0,,$80 Million ,LotteryUSA,,,,,,
2025-04-29,"16, 33, 40, 51, 57",10.0,,$70 Million ,LotteryUSA,,,,,,
2025-04-25,"38, 40, 60, 62, 70",9.0,,$60 Million ,LotteryUSA,,,,,,
2025-04-22,"25, 39, 49, 52, 65",22.0,,$50 Million ,LotteryUSA,,,,,,
2025-04-18,"5, 13, 15, 17, 28",1.0,,$112 Million ,LotteryUSA,,,,,,
2025-04-15,"6, 10, 13, 24, 63",2.0,,$96 Million ,LotteryUSA,,,,,,
2025-04-11,"15, 37, 38, 56, 58",19.0,,$72 Million ,LotteryUSA,,,,,,
2025-04-08,"10, 16, 50, 60, 61",17.0,,$54 Million ,LotteryUSA,,,,,,
2025-04-04,"11, 28, 35, 37, 69",25.0,x2,$43 Million ,LotteryUSA,,,,,,
2025-04-01,"11, 12, 21, 29, 49",3.0,x2,$29 Million ,LotteryUSA,,,,,,
2025-03-28,"2, 9, 31, 60, 63",23.0,x5,$20 Million ,LotteryUSA,,,,,,
2025-03-25,"1, 5, 17, 39, 62",8.0,x2,$344 Million ,LotteryUSA,,,,,,
2025-03-21,"15, 22, 31, 52, 57",2.0,x3,$324 Million ,LotteryUSA,,,,,,
2025-03-18,"27, 28, 31, 32, 33",24.0,x3,$301 Million ,LotteryUSA,,,,,,
2025-03-14,"3, 17, 39, 42, 70",1.0,x3,$277 Million ,LotteryUSA,,,,,,
2025-03-11,"1, 19, 26, 38, 69",15.0,x3,$256 Million ,LotteryUSA,,,,,,
2025-03-07,"8, 20, 48, 58, 60",7.0,x3,$233 Million ,LotteryUSA,,,,,,
2025-03-04,"14, 19, 47, 52, 70",6.0,x2,$215 Million ,LotteryUSA,,,,,,
2025-02-28,"9, 19, 30, 35, 66",16.0,x3,$197 Million ,LotteryUSA,,,,,,
2025-02-25,"4, 8, 11, 32, 52",13.0,x2,$181 Million ,LotteryUSA,,,,,,
2025-02-21,"1, 13, 28, 37, 46",10.0,x2,$165 Million ,LotteryUSA,,,,,,
2025-02-18,"1, 20, 25, 58, 61",22.0,x2,$145 Million ,LotteryUSA,,,,,,
2025-02-14,"11, 19, 31, 49, 56",16.0,x3,$129 Million ,LotteryUSA,,,,,,
2025-02-11,"7, 30, 39, 41, 70",13.0,x3,$110 Million ,LotteryUSA,,,,,,
2025-02-07,"4, 24, 32, 41, 55",16.0,x2,$94 Million ,LotteryUSA,,,,,,
2025-02-04,"14, 24, 31, 53, 54",1.0,x3,$77 Million ,LotteryUSA,,,,,,
2025-01-31,"9, 28, 48, 56, 63",2.0,x2,$59 Million ,LotteryUSA,,,,,,
2025-01-28,"10, 19, 31, 47, 56",6.0,x5,$44 Million ,LotteryUSA,,,,,,
2025-01-24,"8, 12, 43, 52, 62",18.0,x2,$28 Million ,LotteryUSA,,,,,,
