Date,Result,Top prize,Source,Number1,Number2,Number3
2025-10-29,"9, 2, 1",$500 ,LotteryUSA_Original,9,2,1
2025-10-28,"1, 7, 0",$500 ,LotteryUSA_Original,1,7,0
2025-10-27,"0, 7, 4",$500 ,LotteryUSA_Original,0,7,4
2025-10-26,"4, 2, 4",$500 ,LotteryUSA_Original,4,2,4
2025-10-25,"5, 4, 8",$500 ,LotteryUSA_Original,5,4,8
2025-10-24,"2, 7, 5",$500 ,LotteryUSA_Original,2,7,5
2025-10-23,"0, 5, 7",$500 ,LotteryUSA_Original,0,5,7
2025-10-22,"9, 9, 6",$500 ,LotteryUSA_Original,9,9,6
2025-10-21,"9, 9, 9",$500 ,LotteryUSA_Original,9,9,9
2025-10-20,"7, 8, 1",$500 ,LotteryUSA_Original,7,8,1
2025-10-19,"3, 4, 8",$500 ,LotteryUSA_Original,3,4,8
2025-10-18,"8, 2, 6",$500 ,LotteryUSA_Original,8,2,6
2025-10-17,"8, 9, 8",$500 ,LotteryUSA_Original,8,9,8
2025-10-16,"8, 6, 5",$500 ,LotteryUSA_Original,8,6,5
2025-10-15,"9, 2, 8",$500 ,LotteryUSA_Original,9,2,8
2025-10-14,"9, 9, 6",$500 ,LotteryUSA_Original,9,9,6
2025-10-13,"0, 3, 3",$500 ,LotteryUSA_Original,0,3,3
2025-10-12,"0, 1, 7",$500 ,LotteryUSA_Original,0,1,7
2025-10-11,"4, 2, 3",$500 ,LotteryUSA_Original,4,2,3
2025-10-10,"0, 8, 3",$500 ,LotteryUSA_Original,0,8,3
2025-10-09,"0, 3, 3",$500 ,LotteryUSA_Original,0,3,3
2025-10-08,"0, 0, 5",$500 ,LotteryUSA_Original,0,0,5
2025-10-07,"8, 2, 8",$500 ,LotteryUSA_Original,8,2,8
2025-10-06,"3, 6, 4",$500 ,LotteryUSA_Original,3,6,4
2025-10-05,"9, 1, 2",$500 ,LotteryUSA_Original,9,1,2
2025-10-04,"9, 9, 2",$500 ,LotteryUSA_Original,9,9,2
2025-10-03,"6, 2, 3",$500 ,LotteryUSA_Original,6,2,3
2025-10-02,"6, 8, 1",$500 ,LotteryUSA_Original,6,8,1
2025-10-01,"0, 1, 0",$500 ,LotteryUSA_Original,0,1,0
2025-09-30,"1, 3, 6",$500 ,LotteryUSA_Original,1,3,6
2025-09-29,"7, 0, 1",$500 ,LotteryUSA_Original,7,0,1
2025-09-28,"6, 9, 6",$500 ,LotteryUSA_Original,6,9,6
2025-09-27,"2, 0, 8",$500 ,LotteryUSA_Original,2,0,8
2025-09-26,"3, 6, 6",$500 ,LotteryUSA_Original,3,6,6
2025-09-25,"9, 4, 6",$500 ,LotteryUSA_Original,9,4,6
2025-09-24,"5, 7, 4",$500 ,LotteryUSA_Original,5,7,4
2025-09-23,"0, 8, 8",$500 ,LotteryUSA_Original,0,8,8
2025-09-22,"2, 5, 1",$500 ,LotteryUSA_Original,2,5,1
2025-09-21,"4, 7, 9",$500 ,LotteryUSA_Original,4,7,9
2025-09-20,"8, 4, 0",$500 ,LotteryUSA_Original,8,4,0
2025-09-19,"5, 8, 1",$500 ,LotteryUSA_Original,5,8,1
2025-09-18,"1, 5, 5",$500 ,LotteryUSA_Original,1,5,5
2025-09-17,"1, 2, 0",$500 ,LotteryUSA_Original,1,2,0
2025-09-16,"8, 9, 1",$500 ,LotteryUSA_Original,8,9,1
2025-09-15,"8, 2, 6",$500 ,LotteryUSA_Original,8,2,6
2025-09-14,"7, 0, 2",$500 ,LotteryUSA_Original,7,0,2
2025-09-13,"9, 7, 8",$500 ,LotteryUSA_Original,9,7,8
2025-09-12,"5, 9, 4",$500 ,LotteryUSA_Original,5,9,4
2025-09-11,"7, 1, 8",$500 ,LotteryUSA_Original,7,1,8
2025-09-10,"7, 4, 8",$500 ,LotteryUSA_Original,7,4,8
2025-09-09,"2, 7, 1",$500 ,LotteryUSA_Original,2,7,1
2025-09-08,"6, 8, 1",$500 ,LotteryUSA_Original,6,8,1
2025-09-07,"3, 7, 4",$500 ,LotteryUSA_Original,3,7,4
2025-09-06,"4, 2, 1",$500 ,LotteryUSA_Original,4,2,1
2025-09-05,"5, 6, 0",$500 ,LotteryUSA_Original,5,6,0
2025-09-04,"2, 8, 3",$500 ,LotteryUSA_Original,2,8,3
2025-09-03,"5, 9, 0",$500 ,LotteryUSA_Original,5,9,0
2025-09-02,"5, 1, 6",$500 ,LotteryUSA_Original,5,1,6
2025-09-01,"6, 8, 4",$500 ,LotteryUSA_Original,6,8,4
2025-08-31,"2, 8, 9",$500 ,LotteryUSA_Original,2,8,9
2025-08-30,"8, 5, 2",$500 ,LotteryUSA_Original,8,5,2
2025-08-29,"4, 9, 6",$500 ,LotteryUSA_Original,4,9,6
2025-08-28,"2, 4, 2",$500 ,LotteryUSA_Original,2,4,2
2025-08-27,"6, 6, 3",$500 ,LotteryUSA_Original,6,6,3
2025-08-26,"8, 6, 4",$500 ,LotteryUSA_Original,8,6,4
2025-08-25,"2, 4, 1",$500 ,LotteryUSA_Original,2,4,1
2025-08-24,"5, 3, 7",$500 ,LotteryUSA_Original,5,3,7
2025-08-23,"5, 9, 6",$500 ,LotteryUSA_Original,5,9,6
2025-08-22,"6, 5, 0",$500 ,LotteryUSA_Original,6,5,0
2025-08-21,"5, 7, 7",$500 ,LotteryUSA_Original,5,7,7
2025-08-20,"5, 1, 7",$500 ,LotteryUSA_Original,5,1,7
2025-08-19,"9, 8, 9",$500 ,LotteryUSA_Original,9,8,9
2025-08-18,"6, 4, 1",$500 ,LotteryUSA_Original,6,4,1
2025-08-17,"3, 1, 0",$500 ,LotteryUSA_Original,3,1,0
2025-08-16,"5, 8, 8",$500 ,LotteryUSA_Original,5,8,8
2025-08-15,"4, 1, 9",$500 ,LotteryUSA_Original,4,1,9
2025-08-14,"4, 4, 5",$500 ,LotteryUSA_Original,4,4,5
2025-08-13,"1, 9, 3",$500 ,LotteryUSA_Original,1,9,3
2025-08-12,"5, 9, 0",$500 ,LotteryUSA_Original,5,9,0
2025-08-11,"9, 9, 2",$500 ,LotteryUSA_Original,9,9,2
2025-08-10,"6, 3, 3",$500 ,LotteryUSA_Original,6,3,3
2025-08-09,"9, 4, 6",$500 ,LotteryUSA_Original,9,4,6
2025-08-08,"3, 3, 3",$500 ,LotteryUSA_Original,3,3,3
2025-08-07,"7, 4, 4",$500 ,LotteryUSA_Original,7,4,4
2025-08-06,"9, 0, 1",$500 ,LotteryUSA_Original,9,0,1
2025-08-05,"2, 9, 8",$500 ,LotteryUSA_Original,2,9,8
2025-08-04,"8, 6, 5",$500 ,LotteryUSA_Original,8,6,5
2025-08-03,"7, 5, 1",$500 ,LotteryUSA_Original,7,5,1
2025-08-02,"0, 3, 4",$500 ,LotteryUSA_Original,0,3,4
2025-08-01,"7, 8, 0",$500 ,LotteryUSA_Original,7,8,0
2025-07-31,"3, 6, 5",$500 ,LotteryUSA_Original,3,6,5
2025-07-30,"1, 6, 7",$500 ,LotteryUSA_Original,1,6,7
2025-07-29,"6, 0, 5",$500 ,LotteryUSA_Original,6,0,5
2025-07-28,"5, 8, 8",$500 ,LotteryUSA_Original,5,8,8
2025-07-27,"2, 3, 5",$500 ,LotteryUSA_Original,2,3,5
2025-07-26,"8, 7, 1",$500 ,LotteryUSA_Original,8,7,1
2025-07-25,"3, 8, 3",$500 ,LotteryUSA_Original,3,8,3
2025-07-24,"9, 2, 6",$500 ,LotteryUSA_Original,9,2,6
2025-07-23,"6, 2, 9",$500 ,LotteryUSA_Original,6,2,9
2025-07-22,"8, 4, 6",$500 ,LotteryUSA_Original,8,4,6
2025-07-21,"3, 4, 3",$500 ,LotteryUSA_Original,3,4,3
2025-07-20,"0, 7, 6",$500 ,LotteryUSA_Original,0,7,6
2025-07-19,"9, 1, 5",$500 ,LotteryUSA_Original,9,1,5
2025-07-18,"0, 3, 0",$500 ,LotteryUSA_Original,0,3,0
2025-07-17,"4, 9, 5",$500 ,LotteryUSA_Original,4,9,5
2025-07-16,"1, 5, 2",$500 ,LotteryUSA_Original,1,5,2
2025-07-15,"2, 8, 4",$500 ,LotteryUSA_Original,2,8,4
2025-07-14,"3, 7, 3",$500 ,LotteryUSA_Original,3,7,3
2025-07-13,"2, 9, 1",$500 ,LotteryUSA_Original,2,9,1
2025-07-12,"7, 0, 0",$500 ,LotteryUSA_Original,7,0,0
2025-07-11,"8, 1, 5",$500 ,LotteryUSA_Original,8,1,5
