Date,Result,Top prize,Source,Number1,Number2,Number3
2025-10-28,"1, 5, 0",$500 ,LotteryUSA,,,
2025-10-27,"8, 4, 7",$500 ,LotteryUSA,,,
2025-10-26,"5, 6, 0",$500 ,LotteryUSA,,,
2025-10-25,"9, 6, 6",$500 ,LotteryUSA,,,
2025-10-24,"3, 4, 5",$500 ,LotteryUSA,,,
2025-10-23,"8, 1, 8",$500 ,LotteryUSA,,,
2025-10-22,"1, 8, 8",$500 ,LotteryUSA,,,
2025-10-21,"9, 3, 4",$500 ,LotteryUSA,,,
2025-10-20,"5, 8, 9",$500 ,LotteryUSA,,,
2025-10-19,"0, 6, 4",$500 ,LotteryUSA,,,
2025-10-18,"4, 9, 2",$500 ,LotteryUSA,,,
2025-10-17,"5, 0, 9",$500 ,LotteryUSA,,,
2025-10-16,"4, 8, 0",$500 ,LotteryUSA,,,
2025-10-15,"3, 1, 6",$500 ,LotteryUSA,,,
2025-10-14,"8, 6, 6",$500 ,LotteryUSA,,,
2025-10-13,"5, 6, 2",$500 ,LotteryUSA,,,
2025-10-12,"5, 0, 2",$500 ,LotteryUSA,,,
2025-10-11,"7, 1, 8",$500 ,LotteryUSA,,,
2025-10-10,"9, 0, 6",$500 ,LotteryUSA,,,
2025-10-09,"0, 7, 0",$500 ,LotteryUSA,,,
2025-10-08,"7, 3, 9",$500 ,LotteryUSA,,,
2025-10-07,"5, 0, 7",$500 ,LotteryUSA,,,
2025-10-06,"3, 5, 5",$500 ,LotteryUSA,,,
2025-10-05,"0, 8, 4",$500 ,LotteryUSA,,,
2025-10-04,"9, 7, 7",$500 ,LotteryUSA,,,
2025-10-03,"9, 8, 2",$500 ,LotteryUSA,,,
2025-10-02,"4, 0, 5",$500 ,LotteryUSA,,,
2025-10-01,"3, 7, 7",$500 ,LotteryUSA,,,
2025-09-30,"3, 0, 8",$500 ,LotteryUSA,,,
2025-09-29,"8, 4, 8",$500 ,LotteryUSA,,,
2025-09-28,"8, 4, 9",$500 ,LotteryUSA,,,
2025-09-27,"5, 9, 0",$500 ,LotteryUSA,,,
2025-09-26,"0, 2, 8",$500 ,LotteryUSA,,,
2025-09-25,"8, 4, 8",$500 ,LotteryUSA,,,
2025-09-24,"5, 9, 1",$500 ,LotteryUSA,,,
2025-09-23,"4, 9, 5",$500 ,LotteryUSA,,,
2025-09-22,"6, 6, 2",$500 ,LotteryUSA,,,
2025-09-21,"2, 7, 5",$500 ,LotteryUSA,,,
2025-09-20,"5, 3, 6",$500 ,LotteryUSA,,,
2025-09-19,"3, 3, 0",$500 ,LotteryUSA,,,
2025-09-18,"2, 7, 6",$500 ,LotteryUSA,,,
2025-09-17,"1, 3, 7",$500 ,LotteryUSA,,,
2025-09-16,"0, 5, 4",$500 ,LotteryUSA,,,
2025-09-15,"9, 8, 3",$500 ,LotteryUSA,,,
2025-09-14,"6, 3, 2",$500 ,LotteryUSA,,,
2025-09-13,"8, 7, 3",$500 ,LotteryUSA,,,
2025-09-12,"8, 9, 1",$500 ,LotteryUSA,,,
2025-09-11,"4, 5, 4",$500 ,LotteryUSA,,,
2025-09-10,"1, 0, 0",$500 ,LotteryUSA,,,
2025-09-09,"9, 6, 6",$500 ,LotteryUSA,,,
