Date,Result,Top prize,Source,Number1,Number2,Number3,Number4
2025-10-29,"""0, 0, 0, 0""","""$5,000 """,Manual_Update,0.0,0.0,0.0,0.0
2025-10-28,"1, 7, 5, 0","$5,000 ",LotteryUSA,1.0,7.0,5.0,0.0
2025-10-27,"8, 9, 7, 1","$5,000 ",LotteryUSA,8.0,9.0,7.0,1.0
2025-10-26,"8, 7, 3, 2","$5,000 ",LotteryUSA,8.0,7.0,3.0,2.0
2025-10-25,"6, 7, 2, 1","$5,000 ",LotteryUSA,6.0,7.0,2.0,1.0
2025-10-24,"6, 4, 7, 6","$5,000 ",LotteryUSA,6.0,4.0,7.0,6.0
2025-10-23,"0, 9, 0, 8","$5,000 ",LotteryUSA,0.0,9.0,0.0,8.0
2025-10-22,"6, 2, 1, 4","$5,000 ",LotteryUSA,6.0,2.0,1.0,4.0
2025-10-21,"7, 2, 0, 6","$5,000 ",LotteryUSA,7.0,2.0,0.0,6.0
2025-10-20,"1, 5, 2, 7","$5,000 ",LotteryUSA,1.0,5.0,2.0,7.0
2025-10-19,"9, 9, 4, 7","$5,000 ",LotteryUSA,9.0,9.0,4.0,7.0
2025-10-18,"5, 6, 1, 4","$5,000 ",LotteryUSA,5.0,6.0,1.0,4.0
2025-10-17,"2, 0, 4, 6","$5,000 ",LotteryUSA,2.0,0.0,4.0,6.0
2025-10-16,"6, 8, 2, 5","$5,000 ",LotteryUSA,6.0,8.0,2.0,5.0
2025-10-15,"9, 1, 1, 0","$5,000 ",LotteryUSA,9.0,1.0,1.0,0.0
2025-10-14,"0, 9, 7, 1","$5,000 ",LotteryUSA,0.0,9.0,7.0,1.0
2025-10-13,"0, 4, 0, 1","$5,000 ",LotteryUSA,0.0,4.0,0.0,1.0
2025-10-12,"1, 2, 0, 8","$5,000 ",LotteryUSA,1.0,2.0,0.0,8.0
2025-10-11,"6, 4, 0, 5","$5,000 ",LotteryUSA,6.0,4.0,0.0,5.0
2025-10-10,"8, 0, 5, 1","$5,000 ",LotteryUSA,8.0,0.0,5.0,1.0
2025-10-09,"2, 0, 2, 4","$5,000 ",LotteryUSA,2.0,0.0,2.0,4.0
2025-10-08,"4, 4, 0, 3","$5,000 ",LotteryUSA,4.0,4.0,0.0,3.0
2025-10-07,"7, 7, 3, 5","$5,000 ",LotteryUSA,7.0,7.0,3.0,5.0
2025-10-06,"2, 3, 2, 6","$5,000 ",LotteryUSA,2.0,3.0,2.0,6.0
2025-10-05,"9, 9, 2, 0","$5,000 ",LotteryUSA,9.0,9.0,2.0,0.0
2025-10-04,"5, 9, 8, 6","$5,000 ",LotteryUSA,5.0,9.0,8.0,6.0
2025-10-03,"6, 3, 4, 5","$5,000 ",LotteryUSA,6.0,3.0,4.0,5.0
2025-10-02,"6, 5, 5, 9","$5,000 ",LotteryUSA,6.0,5.0,5.0,9.0
2025-10-01,"1, 2, 8, 5","$5,000 ",LotteryUSA,1.0,2.0,8.0,5.0
2025-09-30,"0, 7, 8, 5","$5,000 ",LotteryUSA,0.0,7.0,8.0,5.0
2025-09-29,"1, 1, 4, 8","$5,000 ",LotteryUSA,1.0,1.0,4.0,8.0
2025-09-28,"5, 0, 0, 1","$5,000 ",LotteryUSA,5.0,0.0,0.0,1.0
