Date,Result,Lucky Ball,Top prize,Source,Number1,Number2,Number3,Number4,Number5,BonusNumber
2025-10-28,"14, 15, 21, 24, 45",8.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-27,"1, 10, 30, 32, 33",4.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-26,"2, 8, 11, 24, 30",10.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-25,"21, 32, 34, 35, 44",5.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-24,"8, 9, 28, 31, 46",6.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-23,"12, 30, 33, 39, 40",3.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-22,"1, 20, 30, 37, 46",1.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-21,"8, 9, 15, 31, 32",12.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-20,"3, 5, 23, 26, 28",9.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-19,"11, 31, 35, 42, 45",3.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-18,"13, 20, 24, 31, 45",12.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-17,"7, 24, 34, 45, 47",11.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-16,"4, 7, 42, 43, 46",11.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-15,"13, 25, 27, 31, 46",17.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-14,"2, 5, 15, 34, 37",1.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-13,"3, 9, 19, 28, 46",5.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-12,"5, 11, 15, 22, 45",14.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-11,"10, 37, 40, 42, 45",8.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-10,"5, 35, 39, 40, 45",6.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-09,"9, 11, 27, 42, 46",17.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-08,"9, 13, 14, 35, 46",6.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-07,"8, 32, 42, 44, 46",8.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-06,"6, 11, 30, 34, 39",10.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-05,"4, 23, 25, 32, 40",16.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-04,"8, 17, 18, 24, 35",1.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-10-03,"1, 22, 23, 25, 38",12.0,"$1,000 Per day for life",LotteryUSA,,,,,,
