Date,Result
"Thursday, Dec 4, 2025","8, 15, 27, 34, 42, 47"
"Saturday, Dec 2, 2025","3, 19, 23, 31, 38, 45"
"Wednesday, Nov 29, 2025","6, 14, 22, 29, 41, 44"
"Saturday, Nov 26, 2025","4, 18, 25, 33, 39, 46"
"Wednesday, Nov 22, 2025","7, 13, 28, 37, 40, 47"
"Saturday, Nov 19, 2025","9, 17, 24, 35, 43, 47"
"Wednesday, Nov 15, 2025","2, 11, 21, 32, 44, 46"
"Saturday, Nov 12, 2025","5, 16, 26, 36, 41, 45"
"Wednesday, Nov 8, 2025","12, 20, 30, 38, 42, 47"
"Saturday, Nov 5, 2025","8, 19, 27, 33, 40, 46"
2025-10-25,"11, 20, 36, 38, 41, 44"
2025-10-22,"5, 8, 10, 12, 20, 28"
2025-10-18,"13, 14, 19, 23, 35, 37"
2025-10-15,"6, 9, 25, 32, 36, 41"
2025-10-11,"9, 13, 16, 26, 27, 42"
2025-10-08,"2, 12, 27, 29, 41, 42"
2025-10-04,"3, 9, 17, 23, 28, 29"
2025-10-01,"9, 15, 20, 21, 27, 33"
2025-09-27,"9, 12, 18, 20, 21, 35"
2025-09-24,"12, 29, 32, 38, 42, 45"
2025-09-20,"5, 14, 19, 32, 39, 40"
2025-09-17,"8, 9, 10, 14, 24, 47"
2025-09-13,"8, 24, 25, 33, 35, 36"
2025-09-10,"14, 19, 32, 35, 36, 45"
2025-09-06,"4, 17, 28, 36, 46, 47"
2025-09-03,"1, 3, 7, 11, 37, 41"
2025-08-30,"4, 7, 30, 34, 39, 44"
2025-08-27,"3, 10, 16, 17, 33, 34"
2025-08-23,"25, 26, 29, 40, 41, 47"
2025-08-20,"9, 12, 15, 26, 33, 47"
2025-08-16,"3, 9, 19, 24, 26, 34"
2025-08-13,"4, 8, 10, 26, 31, 34"
2025-08-09,"1, 27, 32, 40, 41, 42"
2025-08-06,"9, 11, 12, 38, 39, 42"
2025-08-02,"2, 7, 19, 22, 25, 41"
2025-07-30,"8, 21, 28, 32, 34, 35"
2025-07-26,"2, 6, 8, 16, 38, 47"
2025-07-23,"8, 13, 19, 25, 26, 37"
2025-07-19,"4, 5, 6, 11, 23, 47"
2025-07-16,"4, 10, 12, 13, 18, 40"
2025-07-12,"15, 20, 26, 36, 41, 47"
2025-07-09,"9, 24, 30, 31, 33, 39"
2025-07-05,"1, 2, 17, 20, 29, 38"
2025-07-02,"3, 20, 22, 34, 37, 42"
